,平台,作者,级别,发布链接
177,椰城椰城 ,,省部级,通行效率提高5成！海口这个匝道通车→ (qq.com)
179,北青网,,省部级,海口滨海立交改造工程项目开放通车 (baidu.com)
223,海西晨报,王亚坤、陈展红,省部级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/1e6b74e4b6a9cd3f82fe64a5ee694c7.png
276,业翔民安,王亚坤、陈展红,地市级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/9bc8241b3c5902ace46d1ac62480738.png
273,厦门广播电台,王亚坤、陈展红,地市级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/2f2739689fb5478ce0055b8dfab49ad.png
275,厦门广电,王亚坤、陈展红,地市级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/0ee6f8bd3b3bddf2c9a573411295a0d.png
497,海西晨报,王亚坤,省部级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/ff91711349d5075b130d6a64c3a4f53.jpg
562,厦门综合广播,王亚坤,地市级,
563,思明快报,王亚坤,地市级,
607,CCTV-1,陈志诚,中央级,
624,广东消委会,姚瑞哲,省部级,合体！全球最大！广州白云机场宣布 (qq.com)
621,百度亮亮新世界,姚瑞哲,省部级,T1、T2成功“牵手”！广州白云机场成世界最大单体航站楼 (baidu.com)
629,新快网,丁高洁,省部级,融企联谊促交流，这场以球会友的篮球赛白云开打__新快网 (xkb.com.cn)
628,网易网,丁高洁,省部级,融企联谊促交流，这场以球会友的篮球赛白云开打|华南|广东|广州|珠海|联谊_手机网易网 (163.com)
702,物流新闻,姚瑞哲,地市级,广州白云机场东四西四指廊投运 - 物流指闻 (headscm.com)
694,中国广州政府,姚瑞哲,地市级,白云机场东四西四指廊投运 - 广州市人民政府门户网站 (gz.gov.cn)
969,I听厦门,王亚坤,地市级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/b8e28b387f6f9eb96e623f8fb636442.png
892,海西晨报,王亚坤,省部级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/4964933a9ef76b22293f8b6ce64089f.png
1017,中航工业,王亚坤,行业,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/8e04fc46bc2eb96d23d00c83d80e027.png
1587,厦门综合广播,王亚坤,地市级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/9c984ab06042239d7c2f06e3dbeda5a.png
1588,厦门交通,王亚坤,地市级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/73cd20bb47be0f30e85ca57278b03b6.png
1591,厦门日报,王亚坤,地市级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/4ba02035cf719936442fba635d95be0.png
1532,南方工报（纸媒）,白占宝,省部级,
1593,厦门广电,王亚坤,地市级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/5eb3aacf596e671d6682a40c47b77b6.png
1595,厦门自贸区,王亚坤,地市级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/e2e26129a8535c92df78b6a78bb9e89.png
1550,福建发布,王亚坤,省部级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/06e74ad2076c3840634a54397768dcd.png
1552,海峡导报,王亚坤,省部级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/fae18480f37860fb5847a5297a97d53.png
1555,海西晨报,王亚坤,省部级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/aaff891313288a44af25fd4a70dcf5b.png
1556,海西晨报,王亚坤,省部级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/00d11db46987be3e1e1f8ef2318529d.png
6,中国企业经济网,安琼,中央级,http://innfinance.cn/baa6/a5571068767.html
121,中国财经在线,王亚坤,中央级,http://zgfinance.top/a3326/ba561237970.html
2472,知识城我知晒,丁俊峰,地市级,
2162,资深品牌人李亮,丁俊峰、任浩霖,行业,
2318,广东建设发布,丁俊峰,省部级,
2496,知识城ing,丁俊峰,地市级,
2592,AI万全harbor,丁俊峰,行业,
2106,厦门广电,王亚坤,地市级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/0124e33851656efff0268241dad1232.png
2003,黄埔融媒,丁俊峰,地市级,
2613,湾区财富通,丁俊峰,行业,
2489,知识城我知晒,丁俊峰,地市级,
2640,学习强国,丁高洁,中央级,百灵·炫|广州举办粤港澳大湾区建设劳动和技能竞赛推进会 (xuexi.cn)
1771,海西晨报,王亚坤,省部级,file:///D:/360MoveData/Users/风清扬/Documents/WeChat Files/wxid_a5gxaxx192tk22/FileStorage/Temp/e3ea42f7845434ac44829508a337b1f.jpg
2029,来知识城呀,丁俊峰,地市级,
2392,广东头条网,唐良桥,省部级,http://gdtt.csxxb.cn/dce37/b0e33025864.html
61,环球视点网,马松涛,地市级,http://www.hqsdw.com/?list_73/2701.html=
2399,广东之声,唐良桥,省部级,http://fzxinxi.cn/b9b/MTY1MTI5NDA=.html
60,民生中国周刊,马松涛,地市级,https://mszgzk.com/?list_25/4700.html=
